COG1,COG2,COG3,COG4,COG5,COG6,freq_cog1,freq_cog2,freq_cog3,freq_cog4,freq_cog5,freq_cog6,freq_sum
group_6302,group_6305,group_6306,group_6309,pflB,,0.11312700106723586,0.24119530416221985,0.20597652081109924,0.07257203842049093,0.3062966915688367,,0.9391675560298827
dinB,group_3444,group_3451,group_3453,group_3454,,0.28601921024546423,0.10672358591248667,0.35538954108858056,0.060832443970117396,0.07897545357524013,,0.887940234791889
bacA,group_28026,group_28029,uppP,,,0.3073639274279616,0.06830309498399147,0.28601921024546423,0.16755602988260407,,,0.8292422625400214
ACF55407.1,ADM85046.1,ADM90934.1,group_11987,,,0.20384204909284953,0.1568836712913554,0.4034151547491996,0.16115261472785486,,,0.9252934898612593
group_8307,group_8315,group_8321,ltxB,,,0.14514407684098185,0.13980789754535752,0.15581643543223053,0.09391675560298826,,,0.5346851654215582
ecfT_3,group_13582,group_13587,group_13588,,,0.3468516542155816,0.23479188900747064,0.16755602988260407,0.08217716115261472,,,0.8313767342582711
group_37,group_41,group_43,group_46,,,0.3127001067235859,0.14300960512273211,0.07897545357524013,0.0576307363927428,,,0.5923159018143009
ACO20636.1,ADM84917.1,ADM91037.1,group_11997,,,0.14087513340448238,0.22518676627534684,0.14194236926360726,0.09818569903948772,,,0.6061899679829242
ADM91564.1,CBW32393.1,group_9965,group_9970,,,0.05976520811099253,0.7214514407684098,0.08110992529348986,0.07150480256136606,,,0.9338313767342582
group_10493,group_10500,group_10506,mro,,,0.06830309498399147,0.07790821771611527,0.38847385272145146,0.37246531483457845,,,0.9071504802561366
ACO23053.1,group_14380,group_17508,group_17511,,,0.4834578441835646,0.2700106723585913,0.06510138740661686,0.08964781216648879,,,0.9082177161152615
group_28198,group_28201,pyrE,,,,0.14300960512273211,0.35859124866595515,0.4471718249733191,,,,0.9487726787620063
ABJ55252.1,CBW33545.1,group_6176,,,,0.07470651013874066,0.6990394877267876,0.16008537886872998,,,,0.9338313767342582
AAK74518.1,group_1658,group_1659,,,,0.12379935965848453,0.15901814300960512,0.11739594450373532,,,,0.40021344717182494
