Isolate Name,Accession Code,Population,Year of Isolation,serotype,GPSC
SMRU1,ERR039560,Maela,2007,NT,603
SMRU2,ERR039561,Maela,2007,NT,264
SMRU3,ERR039562,Maela,2007,NT,28
SMRU5,ERR039564,Maela,2007,NT,28
SMRU6,ERR039565,Maela,2007,7B,248
SMRU7,ERR039566,Maela,2007,7B,248
SMRU9,ERR039568,Maela,2007,NT,214
SMRU10,ERR039569,Maela,2007,33C,165
SMRU12,ERR039571,Maela,2007,NT,118
SMRU14,ERR039573,Maela,2007,39,147
SMRU15,ERR039574,Maela,2007,6B,263
SMRU16,ERR039575,Maela,2007,NT,264
SMRU17,ERR039576,Maela,2007,48,317
SMRU19,ERR039578,Maela,2007,19B,602
SMRU20,ERR039579,Maela,2007,NT,28
SMRU21,ERR039580,Maela,2007,35F,187
SMRU23,ERR039582,Maela,2007,35F,173
SMRU24,ERR039583,Maela,2007,NT,66
SMRU25,ERR039584,Maela,2007,NT,42
SMRU26,ERR039585,Maela,2007,17F,10
SMRU27,ERR039586,Maela,2007,7F,32
SMRU28,ERR039587,Maela,2007,6C,63
SMRU29,ERR039588,Maela,2007,48,317
SMRU30,ERR039589,Maela,2007,23A,5
SMRU31,ERR039590,Maela,2007,6C,63
SMRU32,ERR039591,Maela,2007,6A,63
SMRU4,ERR039563,Maela,2007,10A,634
SMRU13,ERR039572,Maela,2007,6B,47
SMRU18,ERR039577,Maela,2007,6A,166
SMRU22,ERR039581,Maela,2007,NT,
SMRU34,ERR039593,Maela,2008,NT,118
SMRU36,ERR039595,Maela,2008,NT,214
SMRU37,ERR039596,Maela,2008,33C,165
SMRU38,ERR039597,Maela,2008,35F,187
SMRU40,ERR039599,Maela,2008,NT,264
SMRU41,ERR039600,Maela,2008,22F,215
SMRU42,ERR039601,Maela,2008,19A,10
SMRU43,ERR039602,Maela,2008,13,40
SMRU48,ERR039607,Maela,2008,23A,106
SMRU49,ERR039608,Maela,2008,NT,66
SMRU50,ERR039609,Maela,2008,6C,63
SMRU52,ERR039611,Maela,2008,6A,166
SMRU53,ERR039612,Maela,2008,32A,149
SMRU54,ERR039613,Maela,2008,33D,87
SMRU55,ERR039614,Maela,2008,NT,60
SMRU56,ERR039615,Maela,2008,NT,60
SMRU57,ERR039616,Maela,2008,24F,150
SMRU58,ERR039617,Maela,2008,15B,25
SMRU59,ERR039618,Maela,2008,NT,66
SMRU60,ERR039619,Maela,2008,11A,73
SMRU61,ERR039620,Maela,2008,11A,73
SMRU62,ERR039621,Maela,2008,17F,10
SMRU63,ERR039622,Maela,2008,34,604
SMRU64,ERR039623,Maela,2008,NT,28
SMRU66,ERR039625,Maela,2008,NT,118
SMRU67,ERR039626,Maela,2008,NT,398
SMRU68,ERR039627,Maela,2008,23B,151
SMRU69,ERR039628,Maela,2008,23B,151
SMRU70,ERR039629,Maela,2008,6C,63
SMRU71,ERR039630,Maela,2008,NT,118
SMRU72,ERR039631,Maela,2008,NT,28
SMRU73,ERR039632,Maela,2008,13,40
SMRU74,ERR039633,Maela,2008,19F,1
SMRU75,ERR039634,Maela,2008,11A,73
SMRU76,ERR039635,Maela,2008,23F,20
SMRU77,ERR039636,Maela,2008,14,28
SMRU78,ERR039637,Maela,2008,19B,127
SMRU80,ERR039639,Maela,2008,19B,174
SMRU81,ERR039640,Maela,2008,NT,214
SMRU82,ERR039641,Maela,2008,10B,30
SMRU83,ERR039642,Maela,2008,10B,30
SMRU84,ERR039643,Maela,2008,11A,73
SMRU85,ERR039644,Maela,2008,NT,42
SMRU86,ERR039645,Maela,2008,1,2
SMRU87,ERR039646,Maela,2008,35F,188
SMRU88,ERR039647,Maela,2008,19F,1
SMRU89,ERR039648,Maela,2008,NT,28
SMRU93,ERR039652,Maela,2008,17F,10
SMRU94,ERR039653,Maela,2008,14,904;9
SMRU95,ERR039654,Maela,2008,19F,1
SMRU96,ERR039655,Maela,2008,16F,158
SMRU97,ERR047894,Maela,2008,10B,30
SMRU98,ERR047895,Maela,2008,4,130
SMRU99,ERR047896,Maela,2008,NT,264
SMRU100,ERR047897,Maela,2008,NT,42
SMRU101,ERR047898,Maela,2008,24A,91;756
SMRU102,ERR047899,Maela,2008,NT,398
SMRU103,ERR047900,Maela,2008,19F,1
