sample,GPSC
ERR909290,5
ERR1065342,5
ERR909023,5
ERR925279,5
ERR1065172,5
ERR1065161,5
ERR925351,5
ERR908882,5
ERR1065309,5
ERR909235,5
ERR900715,5
ERR909313,5
ERR1065353,5
ERR908974,5
ERR909153,5
ERR925288,5
ERR1065506,5
ERR909192,5
ERR1065113,5
ERR909103,5
ERR1065921,5
ERR1065202,5
ERR1066067,5
ERR925099,5
ERR909160,5
ERR909278,5
ERR908997,5
ERR913100,5
ERR909085,5
ERR900702,5
ERR925255,5
ERR1065125,5
ERR1065390,5
ERR925067,5
ERR913119,5
ERR913493,5
ERR909185,5
ERR908992,5
ERR1065554,5
ERR909179,5
ERR913073,5
ERR1065641,5
ERR1065127,5
ERR925133,5
ERR900718,5
ERR900687,5
ERR1065372,5
ERR1065687,5
ERR909268,5
ERR1066186,5
ERR909174,5
ERR1066088,5
ERR1065677,5
ERR909078,5
ERR909132,5
ERR1065713,5
ERR900680,5
ERR900707,5
ERR1066005,5
ERR1065640,5
ERR1066324,5
ERR909227,5
ERR1065973,5
ERR909051,5
ERR925249,5
ERR1065176,5
ERR925247,5
ERR1066017,5
ERR908946,5
ERR1066082,5
ERR908852,5
ERR1065931,5
ERR1065173,5
ERR909139,5
ERR1065949,5
ERR925194,5
ERR925216,5
ERR1065139,5
ERR909065,5
ERR909130,5
ERR925401,5
ERR1065441,5
ERR925046,13
ERR1065880,13
ERR925083,13
ERR908892,13
ERR909122,13
ERR908905,13
ERR925315,13
ERR1066040,13
ERR925066,13
ERR900662,13
ERR1065376,13
ERR925219,13
ERR1065251,13
ERR909248,13
ERR913537,13
ERR913142,13
ERR908934,13
ERR1065857,13
ERR909059,13
ERR1065769,13
ERR900698,13
ERR908986,13
ERR913084,13
ERR913507,13
ERR909116,13
ERR1065655,13
ERR913093,13
ERR913536,13
ERR1065802,13
ERR1065336,13
ERR1066141,13
ERR908899,13
ERR1066122,13
ERR925393,13
ERR1065656,13
ERR1065887,13
ERR908897,13
ERR1065754,13
ERR908953,13
ERR1065518,13
ERR909320,13
ERR909074,13
ERR1065663,13
ERR913539,13
ERR1065217,13
ERR1065762,13
ERR908863,13
ERR909275,13
ERR925333,13
ERR1066089,13
ERR908907,13
ERR909195,13
ERR1065239,13
ERR900670,13
ERR1065562,13
ERR1065427,13
ERR925110,13
ERR913136,13
ERR1065810,13
ERR913555,13
ERR1066193,13
ERR1065657,13
ERR909200,13
ERR925143,880;22;857;882
ERR1065701,880;22;857;882
ERR1065511,880;22;857;882
ERR913528,880;22;857;882
ERR1065823,880;22;857;882
ERR913096,880;22;857;882
ERR1065233,880;22;857;882
ERR909204,880;22;857;882
ERR1065952,880;22;857;882
ERR908982,880;22;857;882
ERR1065207,880;22;857;882
ERR1065568,880;22;857;882
ERR1065199,880;22;857;882
ERR925214,880;22;857;882
ERR1065960,880;22;857;882
ERR925384,880;22;857;882
ERR1065646,880;22;857;882
ERR1065954,880;22;857;882
ERR1065146,880;22;857;882
ERR1065289,880;22;857;882
ERR1066045,880;22;857;882
ERR925027,880;22;857;882
ERR925245,880;22;857;882
ERR909147,880;22;857;882
ERR1066076,880;22;857;882
ERR1066014,880;22;857;882
ERR1065962,880;22;857;882
ERR909004,880;22;857;882
ERR908996,880;22;857;882
ERR1065565,880;22;857;882
ERR925374,880;22;857;882
ERR1065143,880;22;857;882
ERR1066000,880;22;857;882
ERR925220,880;22;857;882
ERR1065942,880;22;857;882
ERR1065974,880;22;857;882
ERR909128,880;22;857;882
ERR925197,880;22;857;882
ERR909105,880;22;857;882
ERR913558,880;22;857;882
ERR1066002,880;22;857;882
ERR909188,880;22;857;882
ERR925308,880;22;857;882
ERR1065219,880;22;857;882
ERR1065286,880;22;857;882
ERR1065252,880;22;857;882
ERR909066,880;22;857;882
ERR1065979,880;22;857;882
ERR1065495,880;22;857;882
ERR909047,880;22;857;882
ERR1065720,880;22;857;882
ERR1065938,880;22;857;882
ERR909081,880;22;857;882
ERR1065189,880;22;857;882
ERR925340,880;22;857;882
ERR1065755,880;22;857;882
ERR925150,880;22;857;882
ERR925400,880;22;857;882
ERR925167,880;22;857;882
ERR909297,880;22;857;882
ERR1065848,880;22;857;882
ERR1065567,880;22;857;882
ERR925378,880;22;857;882
ERR1065159,880;22;857;882
ERR900732,880;22;857;882
ERR925297,880;22;857;882
ERR1065488,880;22;857;882
ERR909137,880;22;857;882
ERR1065684,880;22;857;882
ERR1065235,880;22;857;882
ERR909302,880;22;857;882
ERR909294,880;22;857;882
ERR908951,880;22;857;882
ERR1066098,880;22;857;882
ERR909033,880;22;857;882
ERR1065300,880;22;857;882
ERR1065990,880;22;857;882
ERR1065795,880;22;857;882
ERR1065993,880;22;857;882
ERR909250,880;22;857;882
ERR1065256,880;22;857;882
ERR913561,880;22;857;882
ERR925035,880;22;857;882
ERR925123,880;22;857;882
ERR1065560,880;22;857;882
ERR1065387,880;22;857;882
ERR913149,880;22;857;882
ERR925076,880;22;857;882
ERR1065643,880;22;857;882
ERR1065934,880;22;857;882
ERR1066003,880;22;857;882
ERR913128,880;22;857;882
ERR925280,880;22;857;882
