Taxon,Cluster
ERR124227,8
ERR124235,8
ERR065303,8
ERR068023,8
ERR129042,8
ERR129167,8
ERR069708,8
ERR129043,8
ERR129213,8
ERR124308,8
ERR129176,8
ERR129117,8
ERR129157,8
ERR129092,15
ERR069788,15
ERR129027,15
ERR068005,15
ERR069784,15
ERR067979,15
ERR124223,15
ERR069734,15
ERR065353,15
ERR068004,15
ERR069741,15
ERR068043,15
ERR069759,15
ERR069709,15
ERR068001,15
ERR069710,15
ERR069827,15
ERR065953,15
ERR129115,15
ERR069761,4
ERR069833,4
ERR069711,4
ERR129207,4
ERR129091,4
ERR129149,4
ERR129112,4
ERR065975,4
ERR065288,4
ERR069817,4
ERR069828,4
ERR129129,4
ERR068044,4
ERR129174,4
ERR129160,4
ERR124315,4
ERR129072,4
ERR129121,4
ERR124234,4
ERR129190,4
ERR124284,4
ERR129183,4
ERR124313,4
ERR129063,4
ERR129153,4
ERR069781,4
ERR069691,4
ERR124269,4
ERR129118,4
ERR068008,4
ERR065328,4
ERR129120,4
ERR068017,4
ERR069774,4
ERR069796,4
ERR065337,4
ERR069705,4
ERR124251,4
ERR129142,4
ERR069696,4
ERR124263,4
ERR129197,4
ERR065287,4
ERR069776,4
ERR068034,4
ERR065305,4
ERR069684,4
ERR129034,4
ERR067984,4
ERR068045,4
ERR065319,4
ERR067960,4
ERR069794,4
ERR068038,4
ERR129125,4
ERR069795,4
ERR069758,4
ERR069771,4
ERR129046,4
ERR068011,4
ERR069751,4
ERR065291,4
ERR124295,4
ERR129209,4
ERR129081,4
ERR069717,4
ERR068050,4
ERR129123,4
ERR067974,4
ERR129140,4
ERR124270,4
ERR069704,4
ERR124229,4
ERR069805,4
ERR068024,4
ERR069753,4
ERR129059,4
ERR129175,4
ERR124267,4
ERR129025,4
ERR065970,4
ERR069829,4
ERR065340,4
ERR129108,4
ERR129186,4
ERR129033,4
ERR069745,4
ERR124225,4
ERR069687,4
ERR129032,4
ERR065317,4
ERR129170,4
ERR069831,4
ERR065972,4
ERR065323,4
ERR124280,4
ERR124281,4
ERR124220,4
ERR065345,7
ERR065331,7
ERR065955,7
ERR129098,7
ERR067976,7
ERR124238,7
ERR065306,7
ERR129171,7
ERR129055,7
ERR065966,7
ERR069807,7
ERR129146,7
ERR129106,7
ERR129065,7
ERR124245,7
ERR065313,7
ERR129161,7
ERR129052,7
ERR069743,7
ERR069780,7
ERR129141,7
ERR129122,7
ERR129076,7
ERR069830,7
ERR129155,7
ERR129107,7
ERR124219,7
ERR129116,7
ERR069790,7
ERR069800,7
ERR065348,7
ERR067980,7
ERR065355,7
ERR067967,7
ERR069777,7
ERR065307,7
ERR129100,7
ERR069736,7
ERR129205,7
ERR124287,7
ERR129029,7
ERR065311,7
ERR068027,7
ERR065322,7
ERR129208,7
ERR065339,7
ERR065346,7
ERR129192,7
ERR069802,7
ERR067973,7
ERR069694,7
ERR068015,7
ERR129133,7
ERR069826,7
ERR129082,7
ERR129147,7
ERR124291,5
ERR069752,5
ERR069707,5
ERR065308,5
ERR069760,5
ERR124246,5
ERR129068,5
ERR129137,5
ERR069727,5
ERR069837,5
ERR068041,5
ERR129154,5
ERR129214,5
ERR129211,5
ERR129215,5
ERR069804,5
ERR129093,5
ERR069801,5
ERR129131,5
ERR065310,5
ERR129037,5
ERR124268,5
ERR124240,5
ERR065964,5
ERR069713,5
ERR068047,5
ERR124298,5
ERR129178,5
ERR129210,5
ERR129159,5
ERR124302,5
ERR069822,5
ERR069702,5
ERR065326,5
ERR068040,5
ERR067986,5
ERR124242,5
ERR129139,5
ERR068000,5
ERR067968,5
ERR069839,5
ERR129177,5
ERR067985,5
ERR124296,5
ERR129080,5
ERR129079,5
ERR068046,5
ERR129127,5
ERR069842,1
ERR124233,1
ERR067990,1
ERR129036,1
ERR069762,1
ERR124255,1
ERR129049,1
ERR129193,1
ERR124222,1
ERR068003,1
ERR068036,1
ERR069699,1
ERR068035,1
ERR069706,1
ERR129062,1
ERR129031,1
ERR129075,1
ERR129078,1
ERR065973,1
ERR069793,1
ERR069791,1
ERR067999,1
ERR069720,1
ERR065314,1
ERR069843,1
ERR069735,11
ERR065957,11
ERR065295,11
ERR069813,11
ERR069838,11
ERR069782,11
ERR069819,11
ERR129061,12
ERR068042,12
ERR068028,12
ERR124221,12
ERR124249,12
ERR068032,12
ERR068049,12
ERR065332,12
ERR124272,12
ERR129054,12
ERR124239,12
ERR124274,12
ERR129060,12
ERR069724,12
ERR069725,12
ERR069698,12
ERR124300,12
ERR129026,12
ERR124283,12
ERR068026,12
ERR067978,12
ERR065297,12
ERR065320,12
ERR065293,12
ERR129198,12
ERR067982,6
ERR124252,6
ERR067992,68
ERR129089,68
ERR129148,68
ERR129200,68
ERR129074,68
ERR124299,68
ERR129143,68
ERR067988,68
ERR124241,68
ERR124273,68
ERR124277,68
ERR068019,68
ERR065351,68
ERR124236,68
ERR069703,68
ERR068002,68
ERR129086,68
ERR065324,68
ERR129134,68
ERR069749,68
ERR129099,68
ERR129087,68
ERR124279,68
ERR129035,68
ERR129163,68
ERR069834,68
ERR129104,68
ERR068033,68
ERR069733,68
ERR124301,68
