Taxon,Cluster
ERR909290,8
ERR1065342,8
ERR909023,8
ERR925279,8
ERR1065172,8
ERR1065161,8
ERR925351,8
ERR908882,8
ERR1065309,8
ERR909235,8
ERR900715,8
ERR909313,8
ERR1065353,8
ERR908974,8
ERR909153,8
ERR925288,8
ERR1065506,8
ERR909192,8
ERR1065113,8
ERR909103,8
ERR1065921,8
ERR1065202,8
ERR1066067,8
ERR925099,8
ERR909160,8
ERR909278,8
ERR908997,8
ERR913100,8
ERR909085,8
ERR900702,8
ERR925255,8
ERR1065125,8
ERR1065390,8
ERR925067,8
ERR913119,8
ERR913493,8
ERR909185,8
ERR908992,8
ERR1065554,8
ERR909179,8
ERR913073,8
ERR1065641,8
ERR1065127,8
ERR925133,8
ERR900718,8
ERR900687,8
ERR1065372,8
ERR1065687,8
ERR909268,8
ERR1066186,8
ERR909174,8
ERR1066088,8
ERR1065677,8
ERR909078,8
ERR909132,8
ERR1065713,8
ERR900680,8
ERR900707,8
ERR1066005,8
ERR1065640,8
ERR1066324,8
ERR909227,8
ERR1065973,8
ERR909051,8
ERR925249,8
ERR1065176,8
ERR925247,8
ERR1066017,8
ERR908946,8
ERR1066082,8
ERR908852,8
ERR1065931,8
ERR1065173,8
ERR909139,8
ERR1065949,8
ERR925194,8
ERR925216,8
ERR1065139,8
ERR909065,8
ERR909130,8
ERR925401,8
ERR1065441,8
ERR925046,15
ERR1065880,15
ERR925083,15
ERR908892,15
ERR909122,15
ERR908905,15
ERR925315,15
ERR1066040,15
ERR925066,15
ERR900662,15
ERR1065376,15
ERR925219,15
ERR1065251,15
ERR909248,15
ERR913537,15
ERR913142,15
ERR908934,15
ERR1065857,15
ERR909059,15
ERR1065769,15
ERR900698,15
ERR908986,15
ERR913084,15
ERR913507,15
ERR909116,15
ERR1065655,15
ERR913093,15
ERR913536,15
ERR1065802,15
ERR1065336,15
ERR1066141,15
ERR908899,15
ERR1066122,15
ERR925393,15
ERR1065656,15
ERR1065887,15
ERR908897,15
ERR1065754,15
ERR908953,15
ERR1065518,15
ERR909320,15
ERR909074,15
ERR1065663,15
ERR913539,15
ERR1065217,15
ERR1065762,15
ERR908863,15
ERR909275,15
ERR925333,15
ERR1066089,15
ERR908907,15
ERR909195,15
ERR1065239,15
ERR900670,15
