sample,GPSC
ERR046062,5
ERR045371,5
ERR046158,5
ERR045393,13
ERR044869,13
ERR045048,13
ERR047118,13
ERR046124,7
ERR045033,7
ERR045368,7
ERR046114,7
ERR045355,7
ERR045425,7
ERR046140,7
ERR047159,7
ERR044862,7
ERR044987,7
ERR046066,7
ERR047147,7
ERR045013,7
ERR045380,7
ERR046067,7
ERR046162,7
ERR046080,7
ERR047125,7
ERR044957,7
ERR045420,7
ERR044917,7
ERR044909,7
ERR045351,7
ERR047152,7
ERR046120,7
ERR045399,7
ERR045398,7
ERR045417,7
ERR046166,7
ERR044883,7
ERR044981,7
ERR046089,7
ERR044872,7
ERR048209,7
ERR046179,7
ERR044908,7
ERR044993,7
ERR044885,7
ERR045039,7
ERR048223,7
ERR047116,7
ERR045025,7
ERR044922,7
ERR045384,7
ERR044928,7
ERR047163,7
ERR045015,7
ERR045009,7
ERR046128,7
ERR048226,7
ERR045391,7
ERR044994,7
ERR044965,7
ERR047140,7
ERR045031,7
ERR046161,7
ERR046111,11
ERR045423,11
ERR047155,11
ERR045046,11
ERR047162,11
ERR046135,11
ERR045422,11
ERR046180,11
ERR045367,11
ERR047146,11
ERR046170,11
ERR045376,11
ERR045408,11
ERR045358,11
ERR046075,11
ERR045008,11
ERR046187,11
ERR047114,11
ERR046184,11
ERR044919,11
ERR046143,3
ERR046190,3
ERR044896,3
ERR047145,3
ERR046151,3
ERR045012,3
ERR045419,3
ERR047144,3
ERR045370,3
ERR045387,3
ERR046069,3
ERR046199,3
ERR046174,3
ERR046149,3
ERR048225,3
ERR046146,3
ERR046136,3
ERR046165,3
ERR044997,3
ERR046078,3
ERR045428,3
ERR047141,3
ERR044971,3
ERR044975,3
ERR045047,3
ERR046048,3
ERR044944,3
ERR044998,3
ERR045364,3
ERR045392,3
ERR047158,3
ERR044992,3
ERR046118,3
ERR046148,3
ERR044976,3
ERR044866,23
ERR044914,10
ERR046141,4
ERR046173,4
ERR044907,4
ERR046126,4
ERR045000,4
ERR046050,4
ERR046117,4
ERR046121,4
ERR044934,4
ERR045360,4
ERR044870,4
ERR048222,4
ERR045390,4
ERR044950,4
ERR046156,4
ERR047142,4
ERR045352,4
ERR046116,4
ERR046130,4
ERR045365,4
ERR046172,4
ERR046208,4
ERR045378,4
ERR045388,4
ERR047129,4
ERR046178,4
ERR045032,4
ERR047161,4
ERR045415,4
ERR046103,4
ERR045385,4
ERR044991,4
ERR044890,4
ERR047156,4
ERR045005,4
ERR045353,4
