Taxon,Cluster
ERR051606,1
ERR051553,1
ERR063990,1
ERR069646,1
ERR084268,1
ERR066321,1
ERR057903,1
ERR057871,1
ERR072190,1
ERR049990,1
ERR064177,1
ERR063810,1
ERR069668,1
ERR063857,1
ERR072197,1
ERR072174,1
ERR049983,1
ERR056761,1
ERR056718,1
ERR063845,1
ERR057825,1
ERR057935,1
ERR057961,1
ERR072215,1
ERR056812,1
ERR060028,1
ERR056720,1
ERR039654,1
ERR056833,1
ERR064010,1
ERR051556,1
ERR054445,1
ERR049982,1
ERR063972,1
ERR059971,1
ERR057834,1
ERR273537,1
ERR066337,1
ERR049994,1
ERR051607,1
ERR057844,1
ERR051483,1
ERR273527,1
ERR063926,1
ERR054603,1
ERR066244,1
ERR067804,1
ERR054249,1
ERR056884,1
ERR056719,1
ERR066351,1
ERR063989,1
ERR057872,1
ERR054357,1
ERR057899,1
ERR057973,1
ERR069610,1
ERR084201,1
ERR051541,1
ERR064206,1
ERR067902,1
ERR054397,1
ERR084308,1
ERR057913,1
ERR047995,1
ERR063896,1
ERR060006,1
ERR057788,1
ERR063916,1
ERR054461,1
ERR056695,1
ERR063885,1
ERR069680,1
ERR067929,1
ERR063954,1
ERR064093,1
ERR056729,1
ERR064180,1
ERR067914,1
ERR054647,1
ERR052617,1
ERR050040,1
ERR067838,1
ERR063949,1
ERR047900,1
ERR052596,1
ERR052610,1
ERR057807,1
ERR051610,1
ERR056817,1
ERR067874,1
ERR056791,1
ERR066213,1
ERR054389,1
ERR056725,1
ERR056806,1
ERR054430,1
ERR051626,1
ERR072230,1
ERR054411,1
ERR069615,1
ERR066240,1
ERR051584,1
ERR051620,1
ERR089628,1
ERR066238,1
ERR054584,1
ERR057983,1
ERR063793,1
ERR063898,1
ERR050024,1
ERR050049,1
ERR057931,1
ERR059993,1
ERR067810,1
ERR066209,1
ERR069658,1
ERR060014,1
ERR057993,1
ERR057777,1
ERR057863,1
ERR057796,1
ERR064166,1
ERR066288,1
ERR066284,1
ERR051641,1
ERR056704,1
ERR063841,1
ERR084322,1
ERR067944,1
ERR051416,1
ERR064175,1
ERR063871,1
ERR063884,1
ERR067884,1
ERR063786,1
ERR054365,1
ERR051629,1
ERR054278,1
ERR054398,1
ERR051549,1
ERR054421,1
ERR063928,1
ERR050055,1
ERR050020,1
ERR057880,1
ERR063947,1
ERR069659,1
ERR059961,1
ERR054378,1
ERR063945,1
ERR063801,1
ERR048171,1
ERR084305,1
ERR056705,1
ERR063878,1
ERR057855,1
ERR072234,1
ERR273534,1
ERR054318,1
ERR057798,1
ERR064097,1
ERR057854,1
ERR054285,1
ERR051562,1
ERR048011,1
ERR084313,1
ERR051514,1
ERR051602,1
ERR057789,1
ERR049097,1
ERR066220,1
ERR049960,1
ERR049964,1
ERR050015,1
ERR051581,1
ERR051493,1
ERR069665,1
ERR057846,1
ERR054588,1
ERR060000,1
ERR051524,1
ERR054241,1
ERR052649,1
ERR063848,1
ERR067913,1
ERR063914,1
ERR054377,1
ERR084320,1
ERR050057,1
ERR054565,1
ERR084158,1
ERR054602,1
ERR048161,1
ERR066272,1
ERR057759,1
ERR067864,1
ERR064082,1
ERR054464,1
ERR066252,1
ERR054387,1
ERR063901,1
ERR084174,1
ERR069632,1
ERR069633,1
ERR056730,1
ERR072175,1
ERR054441,1
ERR064080,1
ERR051476,1
ERR069611,1
ERR039633,1
ERR054403,1
ERR054463,1
ERR056692,1
ERR067845,1
ERR064015,1
ERR067934,1
ERR057981,1
ERR066305,1
ERR054265,1
ERR047992,1
ERR056685,1
ERR054351,1
ERR057929,1
ERR051555,1
ERR072179,1
ERR057806,1
ERR051515,1
ERR050000,1
ERR067881,1
ERR051585,1
ERR054484,1
ERR067835,1
ERR057828,1
ERR056842,1
ERR056815,1
ERR054374,1
ERR067783,1
ERR069627,1
ERR039647,1
ERR054375,1
ERR051569,1
ERR064012,1
ERR049954,1
ERR067787,1
ERR050053,1
ERR066285,1
ERR063976,1
ERR084276,1
ERR050007,1
ERR057891,1
ERR064204,1
ERR064140,1
ERR049981,1
ERR054251,1
ERR056807,1
ERR273521,1
ERR051435,1
ERR056723,1
ERR054454,1
ERR057792,1
ERR057893,1
ERR063840,1
ERR064135,1
ERR066257,1
ERR063909,1
ERR084161,1
ERR072191,1
ERR066286,1
ERR054466,1
ERR056756,1
ERR064178,1
ERR054280,1
ERR057949,1
ERR273507,1
ERR084265,1
ERR059982,1
ERR064234,1
ERR054323,1
ERR084279,1
ERR054234,1
ERR059983,1
ERR051475,1
ERR063966,1
ERR057888,1
ERR051647,1
ERR051597,1
ERR066205,1
ERR054649,1
ERR273491,1
ERR049998,1
ERR050005,1
