Taxon,Cluster
ERR907202_G5_23A_2011,8
ERR907790_G3_23B_2007,8
ERR907501_G2_23A_2007,8
ERR906993_G5_15A_2010,8
ERR907836_G3_23A_2007,8
ERR907156_G5_23A_2010,8
ERR906978_G5_23A_2011,8
ERR907849_G2_23A_2007,8
ERR907311_G5_23B_2012,8
ERR907797_G2_23B_2007,8
ERR907693_G3_23A_2006,8
ERR907829_G4_23A_2007,8
ERR907187_G5_23A_2010,8
ERR907709_G4_23A_2007,8
ERR907313_G5_23A_2010,8
ERR907871_G3_23A_2007,8
ERR907686_G2_23A_2007,8
ERR907710_G4_23A_2007,8
ERR906958_G5_23A_2010,8
ERR907702_G3_23A_2007,8
ERR907170_G5_23A_2011,8
ERR906985_G5_23A_2011,8
ERR907157_G5_23A_2010,8
ERR907029_G5_23A_2011,8
ERR907146_G5_23A_2010,8
ERR907731_G4_23A_2007,8
ERR907010_G5_23A_2010,8
ERR907717_G4_23A_2007,8
ERR907873_G3_23A_2007,8
ERR907602_G3_23A_2006,8
ERR906990_G5_23A_2010,8
ERR907865_G4_23A_2006,8
ERR907027_G5_23A_2011,8
ERR907015_G5_23A_2010,8
ERR907809_G4_23A_2007,8
ERR907541_G2_6A_2006,15
ERR907561_G1_6A_1999,15
ERR907128_G5_6A_2012,15
ERR907460_G1_6A_1998,15
ERR907647_G3_6A_2007,15
ERR907376_G1_6B_1999,15
ERR907195_G5_6A_2010,15
ERR907538_G4_6A_2006,15
ERR907260_G1_6A_1999,15
ERR907537_G4_6A_2006,15
ERR907479_G3_6A_2007,15
ERR907743_G3_6A_2007,15
ERR907044_G5_6A_2012,15
ERR907018_G5_6A_2010,15
ERR907320_G5_6A_2010,15
ERR907173_G5_6A_2011,15
ERR907215_G1_6B_1999,15
ERR907216_G1_6B_1999,15
ERR907701_G2_6A_2007,15
ERR907332_G5_5_2010,15
ERR907076_G1_6A_1998,15
ERR907719_G2_6A_2007,15
ERR907810_G4_5_2007,15
ERR906996_G5_5_2010,15
ERR907400_G1_6A_1999,15
ERR907224_G1_6B_1998,15
ERR907712_G2_6B_2007,15
ERR907055_G1_23B_1998,7
ERR907455_G1_23F_1998,7
ERR907811_G4_23B_2007,7
ERR907141_G5_23B_2010,7
ERR907307_G5_23B_2012,7
ERR907386_G1_23F_1999,7
ERR907257_G1_23F_1999,7
ERR907740_G2_23B_2007,7
ERR907203_G5_23B_2011,7
ERR907245_G1_23F_1999,7
ERR907517_G4_23B_2007,7
ERR907363_G5_23B_2011,7
ERR907361_G5_23B_2011,7
ERR906971_G5_23A_2011,7
ERR907058_G1_23F_1998,7
ERR906957_G5_23B_2010,7
ERR907465_G3_23B_2007,7
ERR906951_G5_23B_2010,7
ERR907734_G4_23A_2007,7
ERR907554_G1_23F_2000,7
ERR907053_G1_23F_1998,7
ERR907551_G1_23A_2000,7
ERR907453_G1_23F_1998,7
ERR907738_G3_23B_2007,7
ERR907803_G3_23B_2007,7
ERR907121_G5_23B_2011,7
ERR906995_G5_23B_2010,7
ERR907011_G5_23B_2010,7
ERR907425_G1_23B_1999,7
ERR907666_G2_23B_2006,7
ERR907527_G3_23A_2007,7
ERR907234_G1_23F_1998,7
ERR907341_G5_23B_2010,7
ERR907804_G3_23B_2007,7
ERR907818_G2_23B_2007,7
ERR907852_G3_23B_2007,7
ERR907410_G1_23F_2000,7
ERR907599_G4_23A_2007,7
ERR907758_G3_23B_2007,7
ERR907763_G3_23B_2007,7
ERR907847_G3_23B_2007,7
ERR907558_G1_23F_1999,7
ERR907267_G1_23B_1999,7
ERR907815_G2_23A_2007,7
ERR907281_G1_23F_1999,7
ERR907641_G4_23B_2006,7
ERR907623_G2_23A_2006,7
ERR907207_G1_23F_1999,7
ERR907621_G3_23B_2007,7
ERR907154_G5_23B_2010,7
ERR907601_G2_23B_2006,7
ERR907468_G4_23B_2007,7
ERR907036_G5_23B_2011,7
ERR907562_G1_23B_2000,7
ERR907072_G1_23F_1998,7
ERR907844_G3_23B_2007,7
ERR907626_G4_23B_2007,7
ERR907737_G2_23B_2007,7
ERR907258_G1_23F_1999,7
ERR906946_G1_23F_1999,7
ERR907855_G2_23B_2007,7
ERR907092_G1_23B_1998,7
ERR907721_G2_23B_2007,7
ERR907438_G1_23B_1999,7
ERR907239_G1_23F_1998,7
ERR907457_G1_23F_1998,7
