Taxon,Cluster
ERR1288894,8
ERR1288859,8
ERR869861,8
ERR1288895,8
ERR862532,8
ERR862367,8
ERR501490,8
ERR862531,8
ERR774609,8
ERR501604,8
ERR316859,8
ERR862419,8
ERR1288871,8
ERR869821,8
ERR869905,8
ERR1288855,8
ERR316753,8
ERR862522,8
ERR311107,8
ERR501631,15
ERR862417,15
ERR501630,15
ERR870009,15
ERR862414,15
ERR516624,15
ERR516637,15
ERR316716,15
ERR862329,15
ERR501528,15
ERR862466,15
ERR311075,15
ERR869871,15
ERR862271,15
ERR1202216,15
ERR862376,15
ERR516626,15
ERR862381,15
ERR862358,15
ERR1202233,15
ERR316935,15
ERR862331,15
ERR862402,23
ERR501603,23
ERR862399,23
ERR316920,23
ERR774615,23
ERR501589,23
ERR869865,23
ERR862379,23
ERR774626,23
ERR869878,23
ERR1202221,23
ERR862378,23
ERR1202202,23
ERR1288824,23
ERR862469,23
ERR1202237,23
ERR316823,21
ERR501592,21
ERR870023,21
ERR774637,21
ERR862410,21
ERR516650,21
ERR870017,21
ERR316699,21
ERR774630,21
ERR869838,21
ERR862325,21
ERR501605,21
ERR1288877,21
ERR869992,21
ERR1288896,21
ERR1288846,21
ERR862269,21
ERR1202194,21
ERR316814,21
ERR1288856,21
ERR774635,21
ERR316702,21
ERR870022,21
ERR516680,21
ERR774634,21
ERR1288848,21
ERR316832,21
ERR501526,21
ERR1202219,21
ERR311103,21
ERR316735,21
ERR316700,21
ERR1288823,21
ERR862326,21
ERR516634,21
ERR869828,25_184
ERR316727,25_184
ERR1288833,25_184
ERR862435,25_184
ERR862354,25_184
ERR870018,25_184
ERR869874,25_184
ERR862535,25_184
ERR870006,25_184
ERR774622,25_184
ERR774616,25_184
ERR316903,25_184
ERR316870,25_184
ERR316933,25_184
ERR862385,25_184
ERR862390,25_184
ERR869856,25_184
ERR869843,25_184
ERR1202212,25_184
ERR1288822,25_184
ERR316858,25_184
ERR774632,6
ERR316719,6
ERR862396,6
ERR862526,6
ERR1202199,6
ERR311102,6
ERR862464,6
ERR316833,6
ERR316893,6
ERR311100,12
ERR862467,12
ERR869998,12
ERR862543,12
ERR316809,12
ERR311123,12
ERR316792,12
ERR862461,12
ERR311090,12
ERR869859,12
ERR862360,12
ERR311140,12
ERR516664,12
ERR862448,12
ERR774623,12
ERR869852,12
ERR869906,12
ERR774614,12
ERR862327,27
ERR862428,27
ERR1288847,27
ERR516694,27
ERR862457,27
ERR501590,27
ERR311119,27
ERR862261,27
ERR1202371,27
ERR1202474,27
ERR316842,27
ERR862534,27
ERR316913,27
ERR316698,27
ERR316777,27
ERR774619,27
ERR1288825,27
ERR1288850,27
ERR1288854,26
ERR1288815,26
ERR870027,26
ERR869995,26
ERR316704,26
ERR316848,26
ERR1288829,26
ERR774633,26
ERR870030,26
ERR1288873,26
ERR316861,26
ERR869869,26
ERR869863,26
ERR862380,26
ERR862330,26
ERR862514,26
ERR869997,26
ERR869876,26
ERR869884,26
ERR869823,26
ERR501593,26
ERR1288890,26
ERR862441,26
ERR316709,26
ERR869858,26
ERR1202203,26
ERR869832,26
ERR862503,26
ERR862400,48
ERR316793,48
ERR1288893,48
ERR1202195,48
ERR869834,48
ERR1288889,48
ERR1202239,48
ERR1288865,48
ERR862451,48
ERR1288863,48
ERR862413,48
ERR869817,48
ERR316909,48
ERR862374,48
ERR516659,48
ERR862440,48
ERR316905,48
ERR870026,48
ERR862509,48
ERR316921,48
ERR862372,48
ERR1288817,48
ERR862452,48
ERR1288864,48
ERR862422,48
ERR316822,48
ERR869853,48
ERR862415,48
ERR862439,48
ERR1288821,48
ERR862540,48
ERR1288887,48
ERR1202229,48
ERR862438,48
ERR316723,48
ERR1202227,48
ERR862407,48
ERR862395,48
ERR316736,48
ERR1202220,37
ERR870032,37
ERR862387,37
ERR501529,22
ERR316807,22
ERR1288879,22
ERR862339,22
ERR516681,22
ERR862446,22
ERR1288870,22
ERR311065,22
ERR316750,22
ERR1288868,22
ERR862377,22
ERR862356,22
ERR501553,22
ERR316927,22
ERR311106,22
ERR862427,22
ERR501547,22
ERR316712,22
ERR862455,22
ERR311076,22
ERR862525,22
ERR316824,22
ERR316929,22
ERR316817,22
ERR311114,22
ERR311066,22
ERR870014,22
ERR1202228,22
ERR316713,22
ERR1288852,67
ERR1202198,67
ERR869836,67
ERR862423,67
ERR870020,67
ERR862517,67
ERR774612,67
ERR774611,67
ERR316742,67
ERR1202209,67
ERR870015,67
ERR869840,67
ERR1288819,67
ERR316866,67
ERR1202223,67
ERR870021,67
ERR862431,67
ERR1202206,67
ERR862444,67
ERR862508,67
ERR862458,67
ERR862366,67
ERR1202201,67
ERR870033,67
ERR1202207,67
ERR316701,67
ERR316924,28
ERR1202224,28
ERR316850,28
ERR316901,28
ERR1288842,28
ERR862462,28
ERR316714,43
ERR501507,43
ERR774610,43
ERR1288837,43
ERR316798,43
ERR774624,43
ERR862442,43
ERR862386,43
ERR870000,43
ERR1202204,43
ERR501527,43
ERR862429,43
ERR862397,43
ERR862409,43
ERR1202246,43
ERR1202208,43
ERR869835,43
ERR862350,43
ERR869854,43
ERR774621,43
ERR316782,43
ERR1288880,55
ERR1288860,55
ERR869833,55
ERR869827,55
ERR1288851,55
ERR870013,55
ERR1202372,55
ERR1288878,55
ERR862383,55
ERR870012,55
ERR862533,55
ERR1202244,55
ERR1288881,55
ERR1288885,55
ERR869818,55
ERR1288830,55
ERR870025,55
ERR1192182,55
ERR774629,55
ERR862353,55
ERR316912,55
ERR1288849,80
ERR870036,80
ERR1192181,80
ERR1288857,80
ERR862279,18
ERR311077,18
ERR1288813,18
ERR1202238,18
ERR516662,52
ERR316789,52
ERR1202205,52
ERR862459,87
ERR862276,87
ERR311070,87
ERR316720,87
ERR862340,87
ERR1288812,87
ERR862450,87
ERR316731,87
ERR870004,92
ERR862421,92
ERR870010,92
ERR1192199,92
ERR1288811,92
ERR870008,92
ERR1192200,92
ERR311092,92
ERR1288827,92
ERR1288810,92
ERR870011,92
ERR1192185,92
ERR501525,92
ERR862447,92
ERR862352,92
ERR862355,92
ERR316739,90_983
ERR316715,90_983
ERR1202200,90_983
ERR1288858,95
ERR501537,95
ERR1288869,95
ERR774613,95
ERR1192178,95
ERR870037,95
ERR1288882,95
ERR1202231,95
ERR862420,95
ERR1288836,95
ERR862445,95
ERR862425,95
ERR316898,10
ERR316841,10
ERR501531,10
ERR311134,10
ERR311074,10
ERR311113,10
ERR316894,10
ERR311141,10
ERR501485,10
ERR869826,10
ERR311151,10
ERR501608,10
ERR1288814,10
ERR862334,156
ERR862394,156
ERR1202242,156
ERR1202210,156
ERR1288862,156
ERR516683,156
ERR862361,156
ERR862382,156
ERR1202475,156
ERR862498,156
ERR1202214,156
ERR316883,156
ERR1288835,86
ERR862510,86
ERR316845,86
ERR862364,86
ERR862468,86
ERR316849,86
ERR1288866,261
